Username,Matriculation Number,Name,Gender,Nationality,Year,Program,Email,Mobile Number,School Initial,Password
BRAN000,U1942323A,BRANDON CHEN,MALE,SINGAPOREAN,2,BUSINESS & COMPUTER SCIENCE,BRAN0025@e.ntu.edu.sg,92134567,SCSE,password1
ANGJ0068,U1956353C,ANG JUN XIAN,MALE,SINGAPOREAN,2,BUSINESS & COMPUTER SCIENCE,ANGJ0068@e.ntu.edu.sg,92314499,SCSE,password2
ZLAM001,U1968590G,LAM ZHI FAH,MALE,SINGAPOREAN,2,BUSINESS & COMPUTER SCIENCE,ZLAM001@e.ntu.edu.sg,93214441,SCSE,password3
JPHUAH001,U1921001D,JETHRO PHUAH,MALE,SINGAPOREAN,2,BUSINESS & COMPUTER SCIENCE,JPHUAH001@e.ntu.edu.sg,12345678,SCSE,password4
JCHEONG017,U1920681K,CHEONG JUN HAO,MALE,SINGAPOREAN,2,COMPUTER SCIENCE,JCHEONG017@e.ntu.edu.sg,81210628,SCSE,password5
ACHUA025,U1920709D,ALICIA CHUA,FEMALE,SINGAPOREAN,2,BUSINESS & COMPUTER SCIENCE,ACHUA025@e.ntu.edu.sg,91550994,SCSE,password6
B190054,U1921316F,STACEY SIM,FEMALE,SINGAPOREAN,2,BUSINESS,STACEYS01@e.ntu.edu.sg,96989313,NBS,password7
CBAY94,U1920710G,KIM JISOO,FEMALE,KOREAN,2,COMPUTER SCIENCE,JSOO123@e.ntu.edu.sg,82185626,SCSE,password8
DHIDE024,U1925526L,DAIJI HIDAYOSHI,MALE,JAPANESE,3,COMPUTER ENGINEERING,DHIDE024@e.ntu.edu.sg,93425322,SCSE,password9
ASHIN43,U1920343F,ASIG SHINATA,FEMALE,INDONESIAN,4,COMPUTER SCIENCE,ASHIN43@e.ntu.edu.sg,85349342,SCSE,password10
SKMETH53,U1926423C,SOMSAK ANDATHAM,MALE,THAI,1,ELECTRICAL ENGINEERING,SKAND0153@e.ntu.edu.sg,96452643,MAE,password11
HSUHL933,U1924934K,HUA WEI XIANG,FEMALE,CHINESE,2,ELECTRICAL ENGINEERING,WEIX09@e.ntu.edu.sg,84342683,EEE,password12
ZHUHA555,U1922364D,LI AN MING,MALE,CHINESE,1,SPORTS SCIENCE MANAGEMENT,AMING01@e.ntu.edu.sg,94324424,SSM,password13
JONL356,U1923535C,OLAJIDE OLATUNJI,MALE,NIGERIAN,3,COMPUTER SCIENCE,KSI199@e.ntu.edu.sg,92353664,SCSE,password14
HYEON234,U1923454C,LEE JI-EUN,FEMALE,KOREAN,1,COMPUTER ENGINEERING,IU0012@e.ntu.edu.sg,95674236,SCSE,password15
